Game Results:

TOKEN	TAG	GUESS
QUERIES
-------------
WELLINGTON	LOC	LOC	3
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
-----------
Move choice:
Launch query on token 10 "Optimised"
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Optimised	[PER=0.046,LOC=0.027,ORG=0.454,O=0.474]	O	ORG
Deprival	[PER=0.170,LOC=0.084,ORG=0.603,O=0.144]	O	ORG
Value	[PER=0.140,LOC=0.080,ORG=0.574,O=0.205]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.942]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
set	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
524.2	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
an	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
increase	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
eight	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
percent	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
486.5	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
	Optimised
-----------
Move choice:
Launch query on token 10 "Optimised"
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Optimised	[PER=0.046,LOC=0.027,ORG=0.454,O=0.474]	O	ORG
Deprival	[PER=0.170,LOC=0.084,ORG=0.603,O=0.144]	O	ORG
Value	[PER=0.140,LOC=0.080,ORG=0.574,O=0.205]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.942]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
set	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
524.2	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
an	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
increase	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
eight	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
percent	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
486.5	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
	Optimised
	Optimised
-----------
Move choice:
Launch query on token 11 "Deprival"
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Optimised	[PER=0.046,LOC=0.027,ORG=0.454,O=0.474]	O	ORG
Deprival	[PER=0.170,LOC=0.084,ORG=0.603,O=0.144]	O	ORG
Value	[PER=0.140,LOC=0.080,ORG=0.574,O=0.205]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.942]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
set	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
524.2	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
an	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
increase	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
eight	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
percent	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
486.5	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
	Optimised
	Optimised
	Deprival
-----------
Move choice:
Launch query on token 11 "Deprival"
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Optimised	[PER=0.046,LOC=0.027,ORG=0.454,O=0.474]	O	ORG
Deprival	[PER=0.170,LOC=0.084,ORG=0.603,O=0.144]	O	ORG
Value	[PER=0.140,LOC=0.080,ORG=0.574,O=0.205]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.942]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
set	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
524.2	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
an	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
increase	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
eight	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
percent	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
486.5	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
	Deprival
	Optimised
	Optimised
	Deprival
-----------
Next event:
Got response on token 10 "Optimised" = O
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Optimised	[PER=0.012,LOC=0.007,ORG=0.118,O=0.863]	O	O
Deprival	[PER=0.226,LOC=0.129,ORG=0.401,O=0.243]	O	ORG
Value	[PER=0.187,LOC=0.117,ORG=0.408,O=0.288]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.001,O=0.998]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.942]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
set	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
524.2	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
an	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
increase	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
eight	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
percent	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
486.5	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
	Deprival
	Optimised
	Deprival
-----------
Move choice:
Launch query on token 11 "Deprival"
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Optimised	[PER=0.012,LOC=0.007,ORG=0.118,O=0.863]	O	O
Deprival	[PER=0.226,LOC=0.129,ORG=0.401,O=0.243]	O	ORG
Value	[PER=0.187,LOC=0.117,ORG=0.408,O=0.288]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.001,O=0.998]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.942]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
set	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
524.2	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
an	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
increase	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
eight	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
percent	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
486.5	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
	Deprival
	Optimised
	Deprival
	Deprival
-----------
Next event:
Got response on token 10 "Optimised" = O
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Thursday	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
that	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
Optimised	[PER=0.002,LOC=0.001,ORG=0.019,O=0.978]	O	O
Deprival	[PER=0.243,LOC=0.142,ORG=0.342,O=0.273]	O	ORG
Value	[PER=0.201,LOC=0.128,ORG=0.359,O=0.312]	O	ORG
(	[PER=0.000,LOC=0.000,ORG=0.001,O=0.998]	O	O
ODV	[PER=0.010,LOC=0.008,ORG=0.041,O=0.942]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
network	[PER=0.000,LOC=0.003,ORG=0.001,O=0.996]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
March	[PER=0.028,LOC=0.043,ORG=0.007,O=0.921]	O	O
31	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
,	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
1996	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
has	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
been	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
set	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
at	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
524.2	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
an	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
increase	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
of	[PER=0.000,LOC=0.000,ORG=0.005,O=0.995]	O	O
eight	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
percent	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
its	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
$	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
486.5	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
million	[PER=0.000,LOC=0.000,ORG=0.002,O=0.998]	O	O
valuation	[PER=0.001,LOC=0.001,ORG=0.012,O=0.986]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
year	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
earlier	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 4
Current in-flight queries: 
	Optimised
	Deprival
	Deprival
	Deprival
-----------
Next event:
Got response on token 10 "Optimised" = O
-----------
TOKEN	DIST	TAG	GUESS
-------------
WELLINGTON	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	LOC	LOC
1996-08-22	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
Power	[PER=0.001,LOC=0.001,ORG=0.000,O=0.999]	ORG	O
New	[PER=0.000,LOC=0.999,ORG=0.000,O=0.000]	ORG	LOC
Zealand	[PER=0.000,LOC=1.000,ORG=0.000,O=0.000]	ORG	LOC
said	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
